Domain Code,Domain,Country Code,Country,Element Code,Element,Item Code,Item,Year Code,Year,Unit,Value,Flag,Flag Description
"FBS","Food Balance Sheets","4","Algeria","5123","Losses","2908","Sugar Crops","2010","2010","1000 tonnes","0","A","Aggregate, may include official, semi-official, estimated or calculated data"
"FBS","Food Balance Sheets","4","Algeria","5123","Losses","2908","Sugar Crops","2011","2011","1000 tonnes","0","A","Aggregate, may include official, semi-official, estimated or calculated data"
"FBS","Food Balance Sheets","4","Algeria","5123","Losses","2908","Sugar Crops","2012","2012","1000 tonnes","0","A","Aggregate, may include official, semi-official, estimated or calculated data"
"FBS","Food Balance Sheets","4","Algeria","5123","Losses","2908","Sugar Crops","2013","2013","1000 tonnes","0","A","Aggregate, may include official, semi-official, estimated or calculated data"
"FBS","Food Balance Sheets","7","Angola","5123","Losses","2908","Sugar Crops","1961","1961","1000 tonnes","32","A","Aggregate, may include official, semi-official, estimated or calculated data"
"FBS","Food Balance Sheets","7","Angola","5123","Losses","2908","Sugar Crops","1962","1962","1000 tonnes","35","A","Aggregate, may include official, semi-official, estimated or calculated data"
"FBS","Food Balance Sheets","7","Angola","5123","Losses","2908","Sugar Crops","1963","1963","1000 tonnes","32","A","Aggregate, may include official, semi-official, estimated or calculated data"
"FBS","Food Balance Sheets","7","Angola","5123","Losses","2908","Sugar Crops","1964","1964","1000 tonnes","32","A","Aggregate, may include official, semi-official, estimated or calculated data"
"FBS","Food Balance Sheets","7","Angola","5123","Losses","2908","Sugar Crops","1965","1965","1000 tonnes","34","A","Aggregate, may include official, semi-official, estimated or calculated data"
"FBS","Food Balance Sheets","7","Angola","5123","Losses","2908","Sugar Crops","1966","1966","1000 tonnes","36","A","Aggregate, may include official, semi-official, estimated or calculated data"
"FBS","Food Balance Sheets","7","Angola","5123","Losses","2908","Sugar Crops","1967","1967","1000 tonnes","36","A","Aggregate, may include official, semi-official, estimated or calculated data"
"FBS","Food Balance Sheets","7","Angola","5123","Losses","2908","Sugar Crops","1968","1968","1000 tonnes","34","A","Aggregate, may include official, semi-official, estimated or calculated data"
"FBS","Food Balance Sheets","7","Angola","5123","Losses","2908","Sugar Crops","1969","1969","1000 tonnes","34","A","Aggregate, may include official, semi-official, estimated or calculated data"
"FBS","Food Balance Sheets","7","Angola","5123","Losses","2908","Sugar Crops","1970","1970","1000 tonnes","38","A","Aggregate, may include official, semi-official, estimated or calculated data"
"FBS","Food Balance Sheets","7","Angola","5123","Losses","2908","Sugar Crops","1971","1971","1000 tonnes","44","A","Aggregate, may include official, semi-official, estimated or calculated data"
"FBS","Food Balance Sheets","7","Angola","5123","Losses","2908","Sugar Crops","1972","1972","1000 tonnes","43","A","Aggregate, may include official, semi-official, estimated or calculated data"
"FBS","Food Balance Sheets","7","Angola","5123","Losses","2908","Sugar Crops","1973","1973","1000 tonnes","48","A","Aggregate, may include official, semi-official, estimated or calculated data"
"FBS","Food Balance Sheets","7","Angola","5123","Losses","2908","Sugar Crops","1974","1974","1000 tonnes","28","A","Aggregate, may include official, semi-official, estimated or calculated data"
"FBS","Food Balance Sheets","7","Angola","5123","Losses","2908","Sugar Crops","1975","1975","1000 tonnes","24","A","Aggregate, may include official, semi-official, estimated or calculated data"
"FBS","Food Balance Sheets","7","Angola","5123","Losses","2908","Sugar Crops","1976","1976","1000 tonnes","27","A","Aggregate, may include official, semi-official, estimated or calculated data"
"FBS","Food Balance Sheets","7","Angola","5123","Losses","2908","Sugar Crops","1977","1977","1000 tonnes","25","A","Aggregate, may include official, semi-official, estimated or calculated data"
"FBS","Food Balance Sheets","7","Angola","5123","Losses","2908","Sugar Crops","1978","1978","1000 tonnes","23","A","Aggregate, may include official, semi-official, estimated or calculated data"
"FBS","Food Balance Sheets","7","Angola","5123","Losses","2908","Sugar Crops","1979","1979","1000 tonnes","21","A","Aggregate, may include official, semi-official, estimated or calculated data"
"FBS","Food Balance Sheets","7","Angola","5123","Losses","2908","Sugar Crops","1980","1980","1000 tonnes","15","A","Aggregate, may include official, semi-official, estimated or calculated data"
"FBS","Food Balance Sheets","7","Angola","5123","Losses","2908","Sugar Crops","1981","1981","1000 tonnes","16","A","Aggregate, may include official, semi-official, estimated or calculated data"
"FBS","Food Balance Sheets","7","Angola","5123","Losses","2908","Sugar Crops","1982","1982","1000 tonnes","13","A","Aggregate, may include official, semi-official, estimated or calculated data"
"FBS","Food Balance Sheets","7","Angola","5123","Losses","2908","Sugar Crops","1983","1983","1000 tonnes","13","A","Aggregate, may include official, semi-official, estimated or calculated data"
"FBS","Food Balance Sheets","7","Angola","5123","Losses","2908","Sugar Crops","1984","1984","1000 tonnes","12","A","Aggregate, may include official, semi-official, estimated or calculated data"
"FBS","Food Balance Sheets","7","Angola","5123","Losses","2908","Sugar Crops","1985","1985","1000 tonnes","14","A","Aggregate, may include official, semi-official, estimated or calculated data"
"FBS","Food Balance Sheets","7","Angola","5123","Losses","2908","Sugar Crops","1986","1986","1000 tonnes","16","A","Aggregate, may include official, semi-official, estimated or calculated data"
"FBS","Food Balance Sheets","7","Angola","5123","Losses","2908","Sugar Crops","1987","1987","1000 tonnes","16","A","Aggregate, may include official, semi-official, estimated or calculated data"
"FBS","Food Balance Sheets","7","Angola","5123","Losses","2908","Sugar Crops","1988","1988","1000 tonnes","16","A","Aggregate, may include official, semi-official, estimated or calculated data"
"FBS","Food Balance Sheets","7","Angola","5123","Losses","2908","Sugar Crops","1989","1989","1000 tonnes","14","A","Aggregate, may include official, semi-official, estimated or calculated data"
"FBS","Food Balance Sheets","7","Angola","5123","Losses","2908","Sugar Crops","1990","1990","1000 tonnes","14","A","Aggregate, may include official, semi-official, estimated or calculated data"
"FBS","Food Balance Sheets","7","Angola","5123","Losses","2908","Sugar Crops","1991","1991","1000 tonnes","17","A","Aggregate, may include official, semi-official, estimated or calculated data"
"FBS","Food Balance Sheets","7","Angola","5123","Losses","2908","Sugar Crops","1992","1992","1000 tonnes","14","A","Aggregate, may include official, semi-official, estimated or calculated data"
"FBS","Food Balance Sheets","7","Angola","5123","Losses","2908","Sugar Crops","1993","1993","1000 tonnes","11","A","Aggregate, may include official, semi-official, estimated or calculated data"
"FBS","Food Balance Sheets","7","Angola","5123","Losses","2908","Sugar Crops","1994","1994","1000 tonnes","12","A","Aggregate, may include official, semi-official, estimated or calculated data"
"FBS","Food Balance Sheets","7","Angola","5123","Losses","2908","Sugar Crops","1995","1995","1000 tonnes","17","A","Aggregate, may include official, semi-official, estimated or calculated data"
"FBS","Food Balance Sheets","7","Angola","5123","Losses","2908","Sugar Crops","1996","1996","1000 tonnes","15","A","Aggregate, may include official, semi-official, estimated or calculated data"
"FBS","Food Balance Sheets","7","Angola","5123","Losses","2908","Sugar Crops","1997","1997","1000 tonnes","16","A","Aggregate, may include official, semi-official, estimated or calculated data"
"FBS","Food Balance Sheets","7","Angola","5123","Losses","2908","Sugar Crops","1998","1998","1000 tonnes","17","A","Aggregate, may include official, semi-official, estimated or calculated data"
"FBS","Food Balance Sheets","7","Angola","5123","Losses","2908","Sugar Crops","1999","1999","1000 tonnes","17","A","Aggregate, may include official, semi-official, estimated or calculated data"
"FBS","Food Balance Sheets","7","Angola","5123","Losses","2908","Sugar Crops","2000","2000","1000 tonnes","18","A","Aggregate, may include official, semi-official, estimated or calculated data"
"FBS","Food Balance Sheets","7","Angola","5123","Losses","2908","Sugar Crops","2001","2001","1000 tonnes","18","A","Aggregate, may include official, semi-official, estimated or calculated data"
"FBS","Food Balance Sheets","7","Angola","5123","Losses","2908","Sugar Crops","2002","2002","1000 tonnes","18","A","Aggregate, may include official, semi-official, estimated or calculated data"
"FBS","Food Balance Sheets","7","Angola","5123","Losses","2908","Sugar Crops","2003","2003","1000 tonnes","18","A","Aggregate, may include official, semi-official, estimated or calculated data"
"FBS","Food Balance Sheets","7","Angola","5123","Losses","2908","Sugar Crops","2004","2004","1000 tonnes","17","A","Aggregate, may include official, semi-official, estimated or calculated data"
"FBS","Food Balance Sheets","7","Angola","5123","Losses","2908","Sugar Crops","2005","2005","1000 tonnes","17","A","Aggregate, may include official, semi-official, estimated or calculated data"
"FBS","Food Balance Sheets","7","Angola","5123","Losses","2908","Sugar Crops","2006","2006","1000 tonnes","23","A","Aggregate, may include official, semi-official, estimated or calculated data"
"FBS","Food Balance Sheets","7","Angola","5123","Losses","2908","Sugar Crops","2007","2007","1000 tonnes","25","A","Aggregate, may include official, semi-official, estimated or calculated data"
"FBS","Food Balance Sheets","7","Angola","5123","Losses","2908","Sugar Crops","2008","2008","1000 tonnes","26","A","Aggregate, may include official, semi-official, estimated or calculated data"
"FBS","Food Balance Sheets","7","Angola","5123","Losses","2908","Sugar Crops","2009","2009","1000 tonnes","25","A","Aggregate, may include official, semi-official, estimated or calculated data"
"FBS","Food Balance Sheets","7","Angola","5123","Losses","2908","Sugar Crops","2010","2010","1000 tonnes","25","A","Aggregate, may include official, semi-official, estimated or calculated data"
"FBS","Food Balance Sheets","7","Angola","5123","Losses","2908","Sugar Crops","2011","2011","1000 tonnes","26","A","Aggregate, may include official, semi-official, estimated or calculated data"
"FBS","Food Balance Sheets","7","Angola","5123","Losses","2908","Sugar Crops","2012","2012","1000 tonnes","26","A","Aggregate, may include official, semi-official, estimated or calculated data"
"FBS","Food Balance Sheets","7","Angola","5123","Losses","2908","Sugar Crops","2013","2013","1000 tonnes","26","A","Aggregate, may include official, semi-official, estimated or calculated data"
"FBS","Food Balance Sheets","9","Argentina","5123","Losses","2908","Sugar Crops","1961","1961","1000 tonnes","845","A","Aggregate, may include official, semi-official, estimated or calculated data"
"FBS","Food Balance Sheets","9","Argentina","5123","Losses","2908","Sugar Crops","1962","1962","1000 tonnes","772","A","Aggregate, may include official, semi-official, estimated or calculated data"
"FBS","Food Balance Sheets","9","Argentina","5123","Losses","2908","Sugar Crops","1963","1963","1000 tonnes","874","A","Aggregate, may include official, semi-official, estimated or calculated data"
"FBS","Food Balance Sheets","9","Argentina","5123","Losses","2908","Sugar Crops","1964","1964","1000 tonnes","710","A","Aggregate, may include official, semi-official, estimated or calculated data"
"FBS","Food Balance Sheets","9","Argentina","5123","Losses","2908","Sugar Crops","1965","1965","1000 tonnes","838","A","Aggregate, may include official, semi-official, estimated or calculated data"
"FBS","Food Balance Sheets","9","Argentina","5123","Losses","2908","Sugar Crops","1966","1966","1000 tonnes","718","A","Aggregate, may include official, semi-official, estimated or calculated data"
"FBS","Food Balance Sheets","9","Argentina","5123","Losses","2908","Sugar Crops","1967","1967","1000 tonnes","69","A","Aggregate, may include official, semi-official, estimated or calculated data"
"FBS","Food Balance Sheets","9","Argentina","5123","Losses","2908","Sugar Crops","1968","1968","1000 tonnes","259","A","Aggregate, may include official, semi-official, estimated or calculated data"
"FBS","Food Balance Sheets","9","Argentina","5123","Losses","2908","Sugar Crops","1969","1969","1000 tonnes","696","A","Aggregate, may include official, semi-official, estimated or calculated data"
"FBS","Food Balance Sheets","9","Argentina","5123","Losses","2908","Sugar Crops","1970","1970","1000 tonnes","49","A","Aggregate, may include official, semi-official, estimated or calculated data"
"FBS","Food Balance Sheets","9","Argentina","5123","Losses","2908","Sugar Crops","1971","1971","1000 tonnes","75","A","Aggregate, may include official, semi-official, estimated or calculated data"
"FBS","Food Balance Sheets","9","Argentina","5123","Losses","2908","Sugar Crops","1972","1972","1000 tonnes","192","A","Aggregate, may include official, semi-official, estimated or calculated data"
"FBS","Food Balance Sheets","9","Argentina","5123","Losses","2908","Sugar Crops","1973","1973","1000 tonnes","21","A","Aggregate, may include official, semi-official, estimated or calculated data"
"FBS","Food Balance Sheets","9","Argentina","5123","Losses","2908","Sugar Crops","1974","1974","1000 tonnes","10","A","Aggregate, may include official, semi-official, estimated or calculated data"
"FBS","Food Balance Sheets","9","Argentina","5123","Losses","2908","Sugar Crops","1975","1975","1000 tonnes","100","A","Aggregate, may include official, semi-official, estimated or calculated data"
"FBS","Food Balance Sheets","9","Argentina","5123","Losses","2908","Sugar Crops","1976","1976","1000 tonnes","142","A","Aggregate, may include official, semi-official, estimated or calculated data"
"FBS","Food Balance Sheets","9","Argentina","5123","Losses","2908","Sugar Crops","1977","1977","1000 tonnes","65","A","Aggregate, may include official, semi-official, estimated or calculated data"
"FBS","Food Balance Sheets","9","Argentina","5123","Losses","2908","Sugar Crops","1978","1978","1000 tonnes","88","A","Aggregate, may include official, semi-official, estimated or calculated data"
"FBS","Food Balance Sheets","9","Argentina","5123","Losses","2908","Sugar Crops","1979","1979","1000 tonnes","222","A","Aggregate, may include official, semi-official, estimated or calculated data"
"FBS","Food Balance Sheets","9","Argentina","5123","Losses","2908","Sugar Crops","1980","1980","1000 tonnes","108","A","Aggregate, may include official, semi-official, estimated or calculated data"
"FBS","Food Balance Sheets","9","Argentina","5123","Losses","2908","Sugar Crops","1981","1981","1000 tonnes","86","A","Aggregate, may include official, semi-official, estimated or calculated data"
"FBS","Food Balance Sheets","9","Argentina","5123","Losses","2908","Sugar Crops","1982","1982","1000 tonnes","59","A","Aggregate, may include official, semi-official, estimated or calculated data"
"FBS","Food Balance Sheets","9","Argentina","5123","Losses","2908","Sugar Crops","1983","1983","1000 tonnes","86","A","Aggregate, may include official, semi-official, estimated or calculated data"
"FBS","Food Balance Sheets","9","Argentina","5123","Losses","2908","Sugar Crops","1984","1984","1000 tonnes","135","A","Aggregate, may include official, semi-official, estimated or calculated data"
"FBS","Food Balance Sheets","9","Argentina","5123","Losses","2908","Sugar Crops","1985","1985","1000 tonnes","120","A","Aggregate, may include official, semi-official, estimated or calculated data"
"FBS","Food Balance Sheets","9","Argentina","5123","Losses","2908","Sugar Crops","1986","1986","1000 tonnes","619","A","Aggregate, may include official, semi-official, estimated or calculated data"
"FBS","Food Balance Sheets","9","Argentina","5123","Losses","2908","Sugar Crops","1987","1987","1000 tonnes","124","A","Aggregate, may include official, semi-official, estimated or calculated data"
"FBS","Food Balance Sheets","9","Argentina","5123","Losses","2908","Sugar Crops","1988","1988","1000 tonnes","54","A","Aggregate, may include official, semi-official, estimated or calculated data"
"FBS","Food Balance Sheets","9","Argentina","5123","Losses","2908","Sugar Crops","1989","1989","1000 tonnes","88","A","Aggregate, may include official, semi-official, estimated or calculated data"
"FBS","Food Balance Sheets","9","Argentina","5123","Losses","2908","Sugar Crops","1990","1990","1000 tonnes","100","A","Aggregate, may include official, semi-official, estimated or calculated data"
"FBS","Food Balance Sheets","9","Argentina","5123","Losses","2908","Sugar Crops","1991","1991","1000 tonnes","100","A","Aggregate, may include official, semi-official, estimated or calculated data"
"FBS","Food Balance Sheets","9","Argentina","5123","Losses","2908","Sugar Crops","1992","1992","1000 tonnes","91","A","Aggregate, may include official, semi-official, estimated or calculated data"
"FBS","Food Balance Sheets","9","Argentina","5123","Losses","2908","Sugar Crops","1993","1993","1000 tonnes","65","A","Aggregate, may include official, semi-official, estimated or calculated data"
"FBS","Food Balance Sheets","9","Argentina","5123","Losses","2908","Sugar Crops","1994","1994","1000 tonnes","50","A","Aggregate, may include official, semi-official, estimated or calculated data"
"FBS","Food Balance Sheets","9","Argentina","5123","Losses","2908","Sugar Crops","1995","1995","1000 tonnes","89","A","Aggregate, may include official, semi-official, estimated or calculated data"
"FBS","Food Balance Sheets","9","Argentina","5123","Losses","2908","Sugar Crops","1996","1996","1000 tonnes","88","A","Aggregate, may include official, semi-official, estimated or calculated data"
"FBS","Food Balance Sheets","9","Argentina","5123","Losses","2908","Sugar Crops","1997","1997","1000 tonnes","75","A","Aggregate, may include official, semi-official, estimated or calculated data"
"FBS","Food Balance Sheets","9","Argentina","5123","Losses","2908","Sugar Crops","1998","1998","1000 tonnes","75","A","Aggregate, may include official, semi-official, estimated or calculated data"
"FBS","Food Balance Sheets","9","Argentina","5123","Losses","2908","Sugar Crops","1999","1999","1000 tonnes","48","A","Aggregate, may include official, semi-official, estimated or calculated data"
"FBS","Food Balance Sheets","9","Argentina","5123","Losses","2908","Sugar Crops","2000","2000","1000 tonnes","45","A","Aggregate, may include official, semi-official, estimated or calculated data"
"FBS","Food Balance Sheets","9","Argentina","5123","Losses","2908","Sugar Crops","2001","2001","1000 tonnes","50","A","Aggregate, may include official, semi-official, estimated or calculated data"
"FBS","Food Balance Sheets","9","Argentina","5123","Losses","2908","Sugar Crops","2002","2002","1000 tonnes","50","A","Aggregate, may include official, semi-official, estimated or calculated data"
"FBS","Food Balance Sheets","9","Argentina","5123","Losses","2908","Sugar Crops","2003","2003","1000 tonnes","50","A","Aggregate, may include official, semi-official, estimated or calculated data"
